name,abv,desc,style_name
Gubna Barrel Aged,11.0,"Emphasizing that complexity of character can arise from simple elements, this ale is made with three malts and one hop. Its light amber color and slightly spicy malt character are derived from the use of German Dark Munich Malt and Rye Malt respectively. North American 2-row barley combines with the other grains to lay the foundation for the hop onslaught to come. Summit hops are used exclusively in the boil for bitterness, flavor and aroma but it doesnÃ¢â?¬â?¢t end there. Post-fermentation dry hopping allows the 9.5% ABV monstrosity to gently coax the citrus rind and grapefruit aroma to join the 100 IBUs already present. This beer should greet you with a pungent citrus blast, provide a spicy yet round middle and finish with a brisk, clean bitterness.",Imperial IPA
Gubna Imperial IPA,10.0,"Each year GUBNA takes on a personality of its own. We seek out the most exciting and best available hops from each individual season to create a potent and complex Imperial IPA. GUBNA is packed with Rye and North American Pale Malt and accented with Munich Malt to give a spicy and flavorful backbone to support loads of kettle hops driving the IBUs to triple digits.

** This beer will now feature different hops in the massive dry hop every year.

2015 - Features whole leaf Galena hops, plus Sorachi Ace and Columbus hops.  Dry hopped with copious amounts of El Dorado, Comet and Chinook.",Imperial IPA
Guinness 250th Anniversary Stout,5.0,"To mark the 250 year anniversary of the signing of the lease on St. Jame's Gate Brewery by Arthur Guinness, we introduce a special commemorative stout. This premium recipe provides a refreshing taste, which underlies the complex flavor of stout.

Made with a double brew stream that combines two types of malts, ale and stout. Carbonated. Uses Guinness yeast, triple hops and roasted barley.",American Stout
Guinness Black Lager,4.5,Guinness Black lager is a cold-brewed with roasted barley to deliver the refreshing taste of lager with the unique character of Guinness.  Enjoy ice cold straight form the bottle.,Schwarzbier
Guinness Blonde,5.0,"Guinness Blonde is the first fusion beer beer in the new Guinness Discovery Series combining the best European brewing techniques with the finest American hops in a collaboration between the Guinness Master Brewers in Dublin and their US Master Brewer counterparts at the famous Latrobe Brewery in Pennsylvania.

The result is a crisp, light, but flavorful beer characteristic of the 1930's American Pale Lager style with just a little 'more' hoppy and citrus characteristics and a unique biscuit malt taste that begs to be experienced.",American Lager
Guinness Draught,4.3,"Swirling clouds tumble as the storm begins to calm, settle, breathe in the moment, then break through the smooth, light head to the bittersweet reward. Unmistakably GUINNESS® beer, stout, or draught , from the first velvet sip to the last, lingering drop. And every deep-dark satisfying mouthful in between. Pure beauty. Pure GUINNESS®.",Dry Irish Stout
Guinness Extra Stout,5.0,"Extra Stout is a beer like no other. The most full-flavoured of all. Singular and striking. Uniquely satisfying.

Brewed with extra hops and roasted barley for a natural bite. Bitter and sweet. Refreshingly crisp taste. Always rewarding.

Pure beauty. Pure GUINNESS®.",American Stout
Guinness Foreign Extra,7.5,"Foreign Extra Stout is brewed with generous hops and roasted barley for a bittersweet balance & full-flavored, natural bite. Developed over 200 years ago for global export from Ireland, the addition of extra hops ensured this Stout would arrive to its destination in perfect condition. Today, Guinness Foreign Extra Stout is enjoyed by millions of people around the world.
Pure beauty. Pure Guinness.",Export Stout
Guinness Generous Ale,5.6,"Inspired by Arthur’s philanthropic legacy and devotion to generous, full-flavored beers, Guinness Generous Ale is special edition holiday beer that was developed in a traditional winter ale style, but with more body and the distinct roast for which Guinness Draught is known. With a rich amber appearance, the vanilla notes accent Guinness Generous Ale’s silky, yet vibrant taste.",Irish Red
Guinness Milk Stout,5.0,"A full-bodied stout with a velvety mouthfeel. Bursting with aromas of roasted malt and chocolate. A hint of smokiness. Our Milk Stout combines a 250-year commitment to brewing dark beers with a determination to never stop innovating.

Marrying the deep roast characteristics of Guinness Draught with lactose sugar results in a unique stout with a subtle sweetness. Slight hints of caramel toffee are balanced by a subtle bitterness. Distinctly complex and best enjoyed in the company of an old friend.",Sweet Stout
Guinness Red Harvest Stout,4.1,"This beer celebrates SAMHAIN (saw-wen), and ancient Celtic Festival to mark the end of the fall harvest. Red Harvest Stout uses lightly roasted barley & sweet Irish malt.",Dry Irish Stout
Guinness Rye Pale Ale,5.0,Light drinkable pale ale from the folks at Guinness as part of the The Brewer's Project.  Mosiac and Cascade hops.  Mild hop and rye bitterness.,Rye Ale
Happy Ending,9.0,"This seasonal “Catch and Release” Imperial Stout is a dry hopped stiffy, leading to an explosive finish at 9% ABV that is guaranteed to put a smile on your face.
Available late December thru early March, in six packs, 22oz. bombers, 15.5 and 5.2 gallon kegs. Line priced with our Festive Ale, slightly higher than SweetWater’s year round lip smackin core styles.",American Imperial Stout
Harmon Killerbrew,7.6,"This is our Oktoberfest beer and the style varies from a lager to a scotch ale. Typically a well balanced, full bodied amber ale in the 5-6% ABV range. Please check with the brewery for this years selection.",Irish Red
Harp Lager,5.0,"The best selling premium irish import lager in the world today.  This rich, golden pilsner style lager, with a smooth, refreshing hoppy taste, is brewed the irish way, using only the finest barley and pure spring water from the Cooley Mountains of Dundalk, Ireland.",American Premium Lager
Harp Premium Imported Lager,4.5,"The best selling premium irish import lager in the world today. This rich, golden pilsner style lager, with a smooth, refreshing hoppy taste, is brewed the irish way, using only the finest barley and pure spring water from the Cooley Mountains of Dundalk, Ireland.",American Premium Lager
Harvest Ale,6.5,"This beer is now brewed under the name ""Sierra Nevada Northern Hemisphere Harvest""

The cornerstone of our Harvest series is the beer that started the modern-day fresh hop ale phenomenon in America, our original Harvest Ale. 

Created in 1996, Harvest Ale features Cascade and Centennial hops from the Yakima Valley in Eastern Washington. These hops are harvested and shipped as wet un-dried hops the same day they are pickedto our brewery in Chico where our brewers eagerly wait to get them into the brew kettle while their oils and resins are still at their peak.",American Pale
Harvest Ale 2007,6.7,"This is one of the only estate-made ales available in the world today. Produced with hops and barley produced on the premises of our brewery in Chico, this ale reflects the flavors of our surroundings in California’s fertile central valley. By growing out own ingredients, we ensure the finest two-row barley and the freshest hops on earth, from the field and into the brew kettle.",American Pale
Harvest Fresh Hop IPA - Southern Hemisphere Harvest,6.7,"The harvest season for hops is a painfully short window—that precious time when the hops are bursting with intense aromatics. Luckily for us, harvest comes twice a year: once in each hemisphere. Southern Hemisphere features fresh New Zealand hops that are picked, dried, and shipped to our brewery within seven days. The result is a complex beer that showcases the floral and herbal flavors and aromas of Southern Cross, Pacifica, and Motueka hops. Southern Hemisphere is part of our five-bottle Harvest series which features single hop, fresh hop, wet hop, and wild hop beers.",Wet Hop Ale
Harvest Newly Developed Hop IPA (2015),6.5,"Our quest for unique hop flavor led us to the Yakima Valley and a handful of newly developed varietals that are so cutting edge they are known only by numbers -- 431, 472, 05256, 06300. These new hops have compelling favors of vanilla, chocolate, oak and orange, creating an IPA like we've never tasted before. Drink this IPA fresh and watch for the rest of this series that explores diverse hopping methods including single hop, fresh hop, wet hop, and wild hop.",American IPA
Harvest Single Hop IPA - Equinox Hops,6.5,"A complex and versatile new hop.

Our history with Equinox hops stretches back well before this newly developed varietal ever had a name. We were the first brewery in the world to get our hands on the intense and nuanced hop. We fell in love with the complex aromas ranging from bright and citrusy to herbal and woody, with a top note of fruity, garden-fresh bell pepper. Equinox is part of our five-bottle Harvest series, which features single hop, fresh hop, wet hop, and wild hop beers.",American IPA
Harvest Single Hop IPA - Idaho 7 Varietal,6.5,"On our never-ending quest for exciting hop flavors we stumbled upon a pioneering hop grower in western Idaho working with a handful of new and interesting varietals. One of these captivating hops, Idaho 7, headlines the first of five bottles in our 2015 edition of the Harvest series. Complex fruity aromas of orange and apricot mesh with hints of black tea-like character and a pleasant fresh herbal bouquet. This IPA kicks off our 2015 series exploring diverse hopping methods: single hop, fresh hop, wet hop and wild hop.",American IPA
Harvest Single Hop Mandarina Hops,6.5,Brewed with Mandarina Hops,American IPA
Harvest Single Hop Yakima #291,6.5,"Whole-cone hops, the whole time—our philosophy since the beginning. We use hops in their purest form, and we’re fortunate to get first crack at some of the rare and exciting varietals new to brew kettles. This single-hop IPA showcases newly developed hop 291’s fruity, berry-like aromas, complex floral character and hints of pepper. This intriguing varietal kicks off our five-bottle Harvest series which features single hop, fresh hop, wet hop, and wild hop beers.",American IPA
